DeathEthnicityEthnicityDesc,DeathYearYear,DeathCOD358ICDCode358Desc,Deaths,DeathAgeAdjustedRate11,SORT
Total,2020 **,All other chromosomal abnormalities not elsewhere classified (Q91-Q99),32,0.3,9855
Total,2021 **,All other chromosomal abnormalities not elsewhere classified (Q91-Q99),0,N/A,9858
Total,Total,All other chromosomal abnormalities not elsewhere classified (Q91-Q99),32,0.2,9861
Hispanic,2020 **,Senility(R54),0,N/A,9864
Hispanic,2021 **,Senility(R54),0,N/A,9867
Hispanic,Total,Senility(R54),0,N/A,9870
Non-Hispanic,2020 **,Senility(R54),218,1.4,9873
Non-Hispanic,2021 **,Senility(R54),0,N/A,9876
Non-Hispanic,Total,Senility(R54),218,0.7,9879
Unknown,2020 **,Senility(R54),0,N/A,9882
Unknown,2021 **,Senility(R54),0,N/A,9885
Unknown,Total,Senility(R54),0,N/A,9888
Total,2020 **,Senility(R54),218,1.4,9891
Total,2021 **,Senility(R54),0,N/A,9894
Total,Total,Senility(R54),218,0.7,9897
Hispanic,2020 **,Sudden infant death syndrome (R95),1,N/A,9900
Hispanic,2021 **,Sudden infant death syndrome (R95),0,N/A,9903
Hispanic,Total,Sudden infant death syndrome (R95),1,N/A,9906
Non-Hispanic,2020 **,Sudden infant death syndrome (R95),45,0.5,9909
Non-Hispanic,2021 **,Sudden infant death syndrome (R95),0,N/A,9912
Non-Hispanic,Total,Sudden infant death syndrome (R95),45,0.2,9915
Unknown,2020 **,Sudden infant death syndrome (R95),0,N/A,9918
Unknown,2021 **,Sudden infant death syndrome (R95),0,N/A,9921
Unknown,Total,Sudden infant death syndrome (R95),0,N/A,9924
Total,2020 **,Sudden infant death syndrome (R95),46,0.5,9927
Total,2021 **,Sudden infant death syndrome (R95),0,N/A,9930
Total,Total,Sudden infant death syndrome (R95),46,0.2,9933
Hispanic,2020 **,Other ill-defined and unknown causes of mortality(R96-R99),165,54.5,9936
Hispanic,2021 **,Other ill-defined and unknown causes of mortality(R96-R99),4,N/A,9939
Hispanic,Total,Other ill-defined and unknown causes of mortality(R96-R99),169,28.2,9942
Non-Hispanic,2020 **,Other ill-defined and unknown causes of mortality(R96-R99),12207,86.1,9945
Non-Hispanic,2021 **,Other ill-defined and unknown causes of mortality(R96-R99),1318,8.8,9948
Non-Hispanic,Total,Other ill-defined and unknown causes of mortality(R96-R99),13525,47.5,9951
Unknown,2020 **,Other ill-defined and unknown causes of mortality(R96-R99),0,N/A,9954
Unknown,2021 **,Other ill-defined and unknown causes of mortality(R96-R99),0,N/A,9957
Unknown,Total,Other ill-defined and unknown causes of mortality(R96-R99),0,N/A,9960
Total,2020 **,Other ill-defined and unknown causes of mortality(R96-R99),12372,85.5,9963
Total,2021 **,Other ill-defined and unknown causes of mortality(R96-R99),1322,8.7,9966
Total,Total,Other ill-defined and unknown causes of mortality(R96-R99),13694,47.1,9969
Hispanic,2020 **,All other symptoms signs and abnormal clinical and laboratory findingsnot elsewhere classified (R00-R53R55-R94),7,N/A,9972
Hispanic,2021 **,All other symptoms signs and abnormal clinical and laboratory findingsnot elsewhere classified (R00-R53R55-R94),0,N/A,9975
Hispanic,Total,All other symptoms signs and abnormal clinical and laboratory findingsnot elsewhere classified (R00-R53R55-R94),7,N/A,9978
Non-Hispanic,2020 **,All other symptoms signs and abnormal clinical and laboratory findingsnot elsewhere classified (R00-R53R55-R94),940,6.2,9981
Non-Hispanic,2021 **,All other symptoms signs and abnormal clinical and laboratory findingsnot elsewhere classified (R00-R53R55-R94),1,N/A,9984
Non-Hispanic,Total,All other symptoms signs and abnormal clinical and laboratory findingsnot elsewhere classified (R00-R53R55-R94),941,3.1,9987
Unknown,2020 **,All other symptoms signs and abnormal clinical and laboratory findingsnot elsewhere classified (R00-R53R55-R94),0,N/A,9990
Unknown,2021 **,All other symptoms signs and abnormal clinical and laboratory findingsnot elsewhere classified (R00-R53R55-R94),0,N/A,9993
Unknown,Total,All other symptoms signs and abnormal clinical and laboratory findingsnot elsewhere classified (R00-R53R55-R94),0,N/A,9996
Total,2020 **,All other symptoms signs and abnormal clinical and laboratory findingsnot elsewhere classified (R00-R53R55-R94),947,6.1,9999
Total,2021 **,All other symptoms signs and abnormal clinical and laboratory findingsnot elsewhere classified (R00-R53R55-R94),1,N/A,10002
Total,Total,All other symptoms signs and abnormal clinical and laboratory findingsnot elsewhere classified (R00-R53R55-R94),948,3.1,10005
Hispanic,2020 **,Railway accidents (V05V15V80.6V81.2-V81.9),0,N/A,10008
Hispanic,2021 **,Railway accidents (V05V15V80.6V81.2-V81.9),0,N/A,10011
Hispanic,Total,Railway accidents (V05V15V80.6V81.2-V81.9),0,N/A,10014
Non-Hispanic,2020 **,Railway accidents (V05V15V80.6V81.2-V81.9),6,N/A,10017
Non-Hispanic,2021 **,Railway accidents (V05V15V80.6V81.2-V81.9),0,N/A,10020
Non-Hispanic,Total,Railway accidents (V05V15V80.6V81.2-V81.9),6,N/A,10023
Unknown,2020 **,Railway accidents (V05V15V80.6V81.2-V81.9),0,N/A,10026
Unknown,2021 **,Railway accidents (V05V15V80.6V81.2-V81.9),0,N/A,10029
Unknown,Total,Railway accidents (V05V15V80.6V81.2-V81.9),0,N/A,10032
Total,2020 **,Railway accidents (V05V15V80.6V81.2-V81.9),6,N/A,10035
Total,2021 **,Railway accidents (V05V15V80.6V81.2-V81.9),0,N/A,10038
Total,Total,Railway accidents (V05V15V80.6V81.2-V81.9),6,N/A,10041
Hispanic,2020 **,Pedestrian involved in collision with motor vehicle(V02-V04),5,N/A,10044
Hispanic,2021 **,Pedestrian involved in collision with motor vehicle(V02-V04),0,N/A,10047
Hispanic,Total,Pedestrian involved in collision with motor vehicle(V02-V04),5,N/A,10050
Non-Hispanic,2020 **,Pedestrian involved in collision with motor vehicle(V02-V04),53,0.4,10053
Non-Hispanic,2021 **,Pedestrian involved in collision with motor vehicle(V02-V04),0,N/A,10056
Non-Hispanic,Total,Pedestrian involved in collision with motor vehicle(V02-V04),53,0.2,10059
Unknown,2020 **,Pedestrian involved in collision with motor vehicle(V02-V04),0,N/A,10062
Unknown,2021 **,Pedestrian involved in collision with motor vehicle(V02-V04),0,N/A,10065
Unknown,Total,Pedestrian involved in collision with motor vehicle(V02-V04),0,N/A,10068
Total,2020 **,Pedestrian involved in collision with motor vehicle(V02-V04),58,0.5,10071
Total,2021 **,Pedestrian involved in collision with motor vehicle(V02-V04),0,N/A,10074
Total,Total,Pedestrian involved in collision with motor vehicle(V02-V04),58,0.2,10077
Hispanic,2020 **,Pedalcyclist involved in collision with motor vehicle(V12-V14V19.0-V19.2V19.4-V19.6),1,N/A,10080
Hispanic,2021 **,Pedalcyclist involved in collision with motor vehicle(V12-V14V19.0-V19.2V19.4-V19.6),0,N/A,10083
Hispanic,Total,Pedalcyclist involved in collision with motor vehicle(V12-V14V19.0-V19.2V19.4-V19.6),1,N/A,10086
Non-Hispanic,2020 **,Pedalcyclist involved in collision with motor vehicle(V12-V14V19.0-V19.2V19.4-V19.6),9,N/A,10089
Non-Hispanic,2021 **,Pedalcyclist involved in collision with motor vehicle(V12-V14V19.0-V19.2V19.4-V19.6),0,N/A,10092
Non-Hispanic,Total,Pedalcyclist involved in collision with motor vehicle(V12-V14V19.0-V19.2V19.4-V19.6),9,N/A,10095
Unknown,2020 **,Pedalcyclist involved in collision with motor vehicle(V12-V14V19.0-V19.2V19.4-V19.6),0,N/A,10098
Unknown,2021 **,Pedalcyclist involved in collision with motor vehicle(V12-V14V19.0-V19.2V19.4-V19.6),0,N/A,10101
Unknown,Total,Pedalcyclist involved in collision with motor vehicle(V12-V14V19.0-V19.2V19.4-V19.6),0,N/A,10104
Total,2020 **,Pedalcyclist involved in collision with motor vehicle(V12-V14V19.0-V19.2V19.4-V19.6),10,0.1,10107
Total,2021 **,Pedalcyclist involved in collision with motor vehicle(V12-V14V19.0-V19.2V19.4-V19.6),0,N/A,10110
Total,Total,Pedalcyclist involved in collision with motor vehicle(V12-V14V19.0-V19.2V19.4-V19.6),10,0.0,10113
Hispanic,2020 **,Motorcyclist involved in any accident except collision with railway train (V20-V24V26-V34V36-V39),3,N/A,10116
Hispanic,2021 **,Motorcyclist involved in any accident except collision with railway train (V20-V24V26-V34V36-V39),0,N/A,10119
Hispanic,Total,Motorcyclist involved in any accident except collision with railway train (V20-V24V26-V34V36-V39),3,N/A,10122
Non-Hispanic,2020 **,Motorcyclist involved in any accident except collision with railway train (V20-V24V26-V34V36-V39),160,1.4,10125
Non-Hispanic,2021 **,Motorcyclist involved in any accident except collision with railway train (V20-V24V26-V34V36-V39),0,N/A,10128
Non-Hispanic,Total,Motorcyclist involved in any accident except collision with railway train (V20-V24V26-V34V36-V39),160,0.7,10131
Unknown,2020 **,Motorcyclist involved in any accident except collision with railway train (V20-V24V26-V34V36-V39),0,N/A,10134
Unknown,2021 **,Motorcyclist involved in any accident except collision with railway train (V20-V24V26-V34V36-V39),0,N/A,10137
Unknown,Total,Motorcyclist involved in any accident except collision with railway train (V20-V24V26-V34V36-V39),0,N/A,10140
Total,2020 **,Motorcyclist involved in any accident except collision with railway train (V20-V24V26-V34V36-V39),163,1.3,10143
Total,2021 **,Motorcyclist involved in any accident except collision with railway train (V20-V24V26-V34V36-V39),0,N/A,10146
Total,Total,Motorcyclist involved in any accident except collision with railway train (V20-V24V26-V34V36-V39),163,0.7,10149
Hispanic,2020 **,Motorcyclist involved in collision with railway train (V25V35),0,N/A,10152
Hispanic,2021 **,Motorcyclist involved in collision with railway train (V25V35),0,N/A,10155
Hispanic,Total,Motorcyclist involved in collision with railway train (V25V35),0,N/A,10158
Non-Hispanic,2020 **,Motorcyclist involved in collision with railway train (V25V35),0,N/A,10161
Non-Hispanic,2021 **,Motorcyclist involved in collision with railway train (V25V35),0,N/A,10164
Non-Hispanic,Total,Motorcyclist involved in collision with railway train (V25V35),0,N/A,10167
Unknown,2020 **,Motorcyclist involved in collision with railway train (V25V35),0,N/A,10170
Unknown,2021 **,Motorcyclist involved in collision with railway train (V25V35),0,N/A,10173
Unknown,Total,Motorcyclist involved in collision with railway train (V25V35),0,N/A,10176
Total,2020 **,Motorcyclist involved in collision with railway train (V25V35),0,N/A,10179
Total,2021 **,Motorcyclist involved in collision with railway train (V25V35),0,N/A,10182
Total,Total,Motorcyclist involved in collision with railway train (V25V35),0,N/A,10185
Hispanic,2020 **,Other motor vehicle accident involving collision with railway train (V45V55V65V75V81.0-V81.1V87.6V88.6),0,N/A,10188
Hispanic,2021 **,Other motor vehicle accident involving collision with railway train (V45V55V65V75V81.0-V81.1V87.6V88.6),0,N/A,10191
Hispanic,Total,Other motor vehicle accident involving collision with railway train (V45V55V65V75V81.0-V81.1V87.6V88.6),0,N/A,10194
Non-Hispanic,2020 **,Other motor vehicle accident involving collision with railway train (V45V55V65V75V81.0-V81.1V87.6V88.6),1,N/A,10197
Non-Hispanic,2021 **,Other motor vehicle accident involving collision with railway train (V45V55V65V75V81.0-V81.1V87.6V88.6),0,N/A,10200
Non-Hispanic,Total,Other motor vehicle accident involving collision with railway train (V45V55V65V75V81.0-V81.1V87.6V88.6),1,N/A,10203
Unknown,2020 **,Other motor vehicle accident involving collision with railway train (V45V55V65V75V81.0-V81.1V87.6V88.6),0,N/A,10206
Unknown,2021 **,Other motor vehicle accident involving collision with railway train (V45V55V65V75V81.0-V81.1V87.6V88.6),0,N/A,10209
Unknown,Total,Other motor vehicle accident involving collision with railway train (V45V55V65V75V81.0-V81.1V87.6V88.6),0,N/A,10212
Total,2020 **,Other motor vehicle accident involving collision with railway train (V45V55V65V75V81.0-V81.1V87.6V88.6),1,N/A,10215
Total,2021 **,Other motor vehicle accident involving collision with railway train (V45V55V65V75V81.0-V81.1V87.6V88.6),0,N/A,10218
Total,Total,Other motor vehicle accident involving collision with railway train (V45V55V65V75V81.0-V81.1V87.6V88.6),1,N/A,10221
Hispanic,2020 **,Occupant of motor vehicle involved in collision with other (non-motorized) roadvehicle streetcar animal or pedestrian (V40-V41V46-V47V50-V51V56-V57V60-V61V66-V67V70-V71V76-V77),6,N/A,10224
Hispanic,2021 **,Occupant of motor vehicle involved in collision with other (non-motorized) roadvehicle streetcar animal or pedestrian (V40-V41V46-V47V50-V51V56-V57V60-V61V66-V67V70-V71V76-V77),0,N/A,10227
Hispanic,Total,Occupant of motor vehicle involved in collision with other (non-motorized) roadvehicle streetcar animal or pedestrian (V40-V41V46-V47V50-V51V56-V57V60-V61V66-V67V70-V71V76-V77),6,N/A,10230
Non-Hispanic,2020 **,Occupant of motor vehicle involved in collision with other (non-motorized) roadvehicle streetcar animal or pedestrian (V40-V41V46-V47V50-V51V56-V57V60-V61V66-V67V70-V71V76-V77),91,0.8,10233
Non-Hispanic,2021 **,Occupant of motor vehicle involved in collision with other (non-motorized) roadvehicle streetcar animal or pedestrian (V40-V41V46-V47V50-V51V56-V57V60-V61V66-V67V70-V71V76-V77),0,N/A,10236
Non-Hispanic,Total,Occupant of motor vehicle involved in collision with other (non-motorized) roadvehicle streetcar animal or pedestrian (V40-V41V46-V47V50-V51V56-V57V60-V61V66-V67V70-V71V76-V77),91,0.4,10239
Unknown,2020 **,Occupant of motor vehicle involved in collision with other (non-motorized) roadvehicle streetcar animal or pedestrian (V40-V41V46-V47V50-V51V56-V57V60-V61V66-V67V70-V71V76-V77),0,N/A,10242
Unknown,2021 **,Occupant of motor vehicle involved in collision with other (non-motorized) roadvehicle streetcar animal or pedestrian (V40-V41V46-V47V50-V51V56-V57V60-V61V66-V67V70-V71V76-V77),0,N/A,10245
Unknown,Total,Occupant of motor vehicle involved in collision with other (non-motorized) roadvehicle streetcar animal or pedestrian (V40-V41V46-V47V50-V51V56-V57V60-V61V66-V67V70-V71V76-V77),0,N/A,10248
Total,2020 **,Occupant of motor vehicle involved in collision with other (non-motorized) roadvehicle streetcar animal or pedestrian (V40-V41V46-V47V50-V51V56-V57V60-V61V66-V67V70-V71V76-V77),97,0.8,10251
Total,2021 **,Occupant of motor vehicle involved in collision with other (non-motorized) roadvehicle streetcar animal or pedestrian (V40-V41V46-V47V50-V51V56-V57V60-V61V66-V67V70-V71V76-V77),0,N/A,10254
Total,Total,Occupant of motor vehicle involved in collision with other (non-motorized) roadvehicle streetcar animal or pedestrian (V40-V41V46-V47V50-V51V56-V57V60-V61V66-V67V70-V71V76-V77),97,0.4,10257
Hispanic,2020 **,Occupant of car pickup truck or van involved in collision with other motor vehicle (V42-V44V49V52-V54V59),2,N/A,10260
Hispanic,2021 **,Occupant of car pickup truck or van involved in collision with other motor vehicle (V42-V44V49V52-V54V59),0,N/A,10263
Hispanic,Total,Occupant of car pickup truck or van involved in collision with other motor vehicle (V42-V44V49V52-V54V59),2,N/A,10266
Non-Hispanic,2020 **,Occupant of car pickup truck or van involved in collision with other motor vehicle (V42-V44V49V52-V54V59),101,0.8,10269
Non-Hispanic,2021 **,Occupant of car pickup truck or van involved in collision with other motor vehicle (V42-V44V49V52-V54V59),0,N/A,10272
Non-Hispanic,Total,Occupant of car pickup truck or van involved in collision with other motor vehicle (V42-V44V49V52-V54V59),101,0.4,10275
Unknown,2020 **,Occupant of car pickup truck or van involved in collision with other motor vehicle (V42-V44V49V52-V54V59),0,N/A,10278
Unknown,2021 **,Occupant of car pickup truck or van involved in collision with other motor vehicle (V42-V44V49V52-V54V59),0,N/A,10281
Unknown,Total,Occupant of car pickup truck or van involved in collision with other motor vehicle (V42-V44V49V52-V54V59),0,N/A,10284
Total,2020 **,Occupant of car pickup truck or van involved in collision with other motor vehicle (V42-V44V49V52-V54V59),103,0.8,10287
Total,2021 **,Occupant of car pickup truck or van involved in collision with other motor vehicle (V42-V44V49V52-V54V59),0,N/A,10290
Total,Total,Occupant of car pickup truck or van involved in collision with other motor vehicle (V42-V44V49V52-V54V59),103,0.4,10293
Hispanic,2020 **,Occupant of heavy transport vehicle or bus involved in collision with other motorvehicle (V62-V64V69V72-V74V79),0,N/A,10296
Hispanic,2021 **,Occupant of heavy transport vehicle or bus involved in collision with other motorvehicle (V62-V64V69V72-V74V79),0,N/A,10299
Hispanic,Total,Occupant of heavy transport vehicle or bus involved in collision with other motorvehicle (V62-V64V69V72-V74V79),0,N/A,10302
Non-Hispanic,2020 **,Occupant of heavy transport vehicle or bus involved in collision with other motorvehicle (V62-V64V69V72-V74V79),1,N/A,10305
Non-Hispanic,2021 **,Occupant of heavy transport vehicle or bus involved in collision with other motorvehicle (V62-V64V69V72-V74V79),0,N/A,10308
Non-Hispanic,Total,Occupant of heavy transport vehicle or bus involved in collision with other motorvehicle (V62-V64V69V72-V74V79),1,N/A,10311
Unknown,2020 **,Occupant of heavy transport vehicle or bus involved in collision with other motorvehicle (V62-V64V69V72-V74V79),0,N/A,10314
Unknown,2021 **,Occupant of heavy transport vehicle or bus involved in collision with other motorvehicle (V62-V64V69V72-V74V79),0,N/A,10317
Unknown,Total,Occupant of heavy transport vehicle or bus involved in collision with other motorvehicle (V62-V64V69V72-V74V79),0,N/A,10320
Total,2020 **,Occupant of heavy transport vehicle or bus involved in collision with other motorvehicle (V62-V64V69V72-V74V79),1,N/A,10323
Total,2021 **,Occupant of heavy transport vehicle or bus involved in collision with other motorvehicle (V62-V64V69V72-V74V79),0,N/A,10326
Total,Total,Occupant of heavy transport vehicle or bus involved in collision with other motorvehicle (V62-V64V69V72-V74V79),1,N/A,10329
Hispanic,2020 **,Occupant of motor vehicle involved in noncollision accident (V48V58V68V78),0,N/A,10332
Hispanic,2021 **,Occupant of motor vehicle involved in noncollision accident (V48V58V68V78),0,N/A,10335
Hispanic,Total,Occupant of motor vehicle involved in noncollision accident (V48V58V68V78),0,N/A,10338
Non-Hispanic,2020 **,Occupant of motor vehicle involved in noncollision accident (V48V58V68V78),28,0.3,10341
Non-Hispanic,2021 **,Occupant of motor vehicle involved in noncollision accident (V48V58V68V78),0,N/A,10344
Non-Hispanic,Total,Occupant of motor vehicle involved in noncollision accident (V48V58V68V78),28,0.1,10347
Unknown,2020 **,Occupant of motor vehicle involved in noncollision accident (V48V58V68V78),0,N/A,10350
Unknown,2021 **,Occupant of motor vehicle involved in noncollision accident (V48V58V68V78),0,N/A,10353
Unknown,Total,Occupant of motor vehicle involved in noncollision accident (V48V58V68V78),0,N/A,10356
Total,2020 **,Occupant of motor vehicle involved in noncollision accident (V48V58V68V78),28,0.2,10359
Total,2021 **,Occupant of motor vehicle involved in noncollision accident (V48V58V68V78),0,N/A,10362
Total,Total,Occupant of motor vehicle involved in noncollision accident (V48V58V68V78),28,0.1,10365
Hispanic,2020 **,Occupant of special-use motor vehicle involved in any accident (V83-V86),0,N/A,10368
Hispanic,2021 **,Occupant of special-use motor vehicle involved in any accident (V83-V86),0,N/A,10371
Hispanic,Total,Occupant of special-use motor vehicle involved in any accident (V83-V86),0,N/A,10374
Non-Hispanic,2020 **,Occupant of special-use motor vehicle involved in any accident (V83-V86),29,0.3,10377
Non-Hispanic,2021 **,Occupant of special-use motor vehicle involved in any accident (V83-V86),0,N/A,10380
Non-Hispanic,Total,Occupant of special-use motor vehicle involved in any accident (V83-V86),29,0.1,10383
Unknown,2020 **,Occupant of special-use motor vehicle involved in any accident (V83-V86),0,N/A,10386
Unknown,2021 **,Occupant of special-use motor vehicle involved in any accident (V83-V86),0,N/A,10389
Unknown,Total,Occupant of special-use motor vehicle involved in any accident (V83-V86),0,N/A,10392
Total,2020 **,Occupant of special-use motor vehicle involved in any accident (V83-V86),29,0.3,10395
Total,2021 **,Occupant of special-use motor vehicle involved in any accident (V83-V86),0,N/A,10398
Total,Total,Occupant of special-use motor vehicle involved in any accident (V83-V86),29,0.1,10401
Hispanic,2020 **,Other and unspecified motor vehicle accidents (V09.0V09.2V80.3-V80.5V82.0-V82.1V87.0-V87.5V87.7-V87.8V88.0-V88.5V88.7-V88.8V89.0V89.2),18,3.7,10404
Hispanic,2021 **,Other and unspecified motor vehicle accidents (V09.0V09.2V80.3-V80.5V82.0-V82.1V87.0-V87.5V87.7-V87.8V88.0-V88.5V88.7-V88.8V89.0V89.2),0,N/A,10407
Hispanic,Total,Other and unspecified motor vehicle accidents (V09.0V09.2V80.3-V80.5V82.0-V82.1V87.0-V87.5V87.7-V87.8V88.0-V88.5V88.7-V88.8V89.0V89.2),18,1.9,10410
Non-Hispanic,2020 **,Other and unspecified motor vehicle accidents (V09.0V09.2V80.3-V80.5V82.0-V82.1V87.0-V87.5V87.7-V87.8V88.0-V88.5V88.7-V88.8V89.0V89.2),583,5.1,10413
Non-Hispanic,2021 **,Other and unspecified motor vehicle accidents (V09.0V09.2V80.3-V80.5V82.0-V82.1V87.0-V87.5V87.7-V87.8V88.0-V88.5V88.7-V88.8V89.0V89.2),0,N/A,10416
Non-Hispanic,Total,Other and unspecified motor vehicle accidents (V09.0V09.2V80.3-V80.5V82.0-V82.1V87.0-V87.5V87.7-V87.8V88.0-V88.5V88.7-V88.8V89.0V89.2),583,2.6,10419
Unknown,2020 **,Other and unspecified motor vehicle accidents (V09.0V09.2V80.3-V80.5V82.0-V82.1V87.0-V87.5V87.7-V87.8V88.0-V88.5V88.7-V88.8V89.0V89.2),1,N/A,10422
Unknown,2021 **,Other and unspecified motor vehicle accidents (V09.0V09.2V80.3-V80.5V82.0-V82.1V87.0-V87.5V87.7-V87.8V88.0-V88.5V88.7-V88.8V89.0V89.2),0,N/A,10425
Unknown,Total,Other and unspecified motor vehicle accidents (V09.0V09.2V80.3-V80.5V82.0-V82.1V87.0-V87.5V87.7-V87.8V88.0-V88.5V88.7-V88.8V89.0V89.2),1,N/A,10428
Total,2020 **,Other and unspecified motor vehicle accidents (V09.0V09.2V80.3-V80.5V82.0-V82.1V87.0-V87.5V87.7-V87.8V88.0-V88.5V88.7-V88.8V89.0V89.2),602,5.1,10431
Total,2021 **,Other and unspecified motor vehicle accidents (V09.0V09.2V80.3-V80.5V82.0-V82.1V87.0-V87.5V87.7-V87.8V88.0-V88.5V88.7-V88.8V89.0V89.2),0,N/A,10434
Total,Total,Other and unspecified motor vehicle accidents (V09.0V09.2V80.3-V80.5V82.0-V82.1V87.0-V87.5V87.7-V87.8V88.0-V88.5V88.7-V88.8V89.0V89.2),602,2.5,10437
Hispanic,2020 **,Streetcar accidents (V82.2-V82.9),0,N/A,10440
Hispanic,2021 **,Streetcar accidents (V82.2-V82.9),0,N/A,10443
Hispanic,Total,Streetcar accidents (V82.2-V82.9),0,N/A,10446
Non-Hispanic,2020 **,Streetcar accidents (V82.2-V82.9),0,N/A,10449
Non-Hispanic,2021 **,Streetcar accidents (V82.2-V82.9),0,N/A,10452
Non-Hispanic,Total,Streetcar accidents (V82.2-V82.9),0,N/A,10455
Unknown,2020 **,Streetcar accidents (V82.2-V82.9),0,N/A,10458
Unknown,2021 **,Streetcar accidents (V82.2-V82.9),0,N/A,10461
Unknown,Total,Streetcar accidents (V82.2-V82.9),0,N/A,10464
Total,2020 **,Streetcar accidents (V82.2-V82.9),0,N/A,10467
Total,2021 **,Streetcar accidents (V82.2-V82.9),0,N/A,10470
Total,Total,Streetcar accidents (V82.2-V82.9),0,N/A,10473
Hispanic,2020 **,Other and unspecified land transport accidents(V01V06V09.1V09.3V09.9V10-V11V16-V18V19.3V19.8-V19.9V80.0-V80.2V80.7-V80.9V87.9V88.9V89.1V89.3V89.9),0,N/A,10476
Hispanic,2021 **,Other and unspecified land transport accidents(V01V06V09.1V09.3V09.9V10-V11V16-V18V19.3V19.8-V19.9V80.0-V80.2V80.7-V80.9V87.9V88.9V89.1V89.3V89.9),0,N/A,10479
Hispanic,Total,Other and unspecified land transport accidents(V01V06V09.1V09.3V09.9V10-V11V16-V18V19.3V19.8-V19.9V80.0-V80.2V80.7-V80.9V87.9V88.9V89.1V89.3V89.9),0,N/A,10482
Non-Hispanic,2020 **,Other and unspecified land transport accidents(V01V06V09.1V09.3V09.9V10-V11V16-V18V19.3V19.8-V19.9V80.0-V80.2V80.7-V80.9V87.9V88.9V89.1V89.3V89.9),16,0.1,10485
Non-Hispanic,2021 **,Other and unspecified land transport accidents(V01V06V09.1V09.3V09.9V10-V11V16-V18V19.3V19.8-V19.9V80.0-V80.2V80.7-V80.9V87.9V88.9V89.1V89.3V89.9),0,N/A,10488
Non-Hispanic,Total,Other and unspecified land transport accidents(V01V06V09.1V09.3V09.9V10-V11V16-V18V19.3V19.8-V19.9V80.0-V80.2V80.7-V80.9V87.9V88.9V89.1V89.3V89.9),16,0.1,10491
Unknown,2020 **,Other and unspecified land transport accidents(V01V06V09.1V09.3V09.9V10-V11V16-V18V19.3V19.8-V19.9V80.0-V80.2V80.7-V80.9V87.9V88.9V89.1V89.3V89.9),0,N/A,10494
Unknown,2021 **,Other and unspecified land transport accidents(V01V06V09.1V09.3V09.9V10-V11V16-V18V19.3V19.8-V19.9V80.0-V80.2V80.7-V80.9V87.9V88.9V89.1V89.3V89.9),0,N/A,10497
Unknown,Total,Other and unspecified land transport accidents(V01V06V09.1V09.3V09.9V10-V11V16-V18V19.3V19.8-V19.9V80.0-V80.2V80.7-V80.9V87.9V88.9V89.1V89.3V89.9),0,N/A,10500
Total,2020 **,Other and unspecified land transport accidents(V01V06V09.1V09.3V09.9V10-V11V16-V18V19.3V19.8-V19.9V80.0-V80.2V80.7-V80.9V87.9V88.9V89.1V89.3V89.9),16,0.1,10503
Total,2021 **,Other and unspecified land transport accidents(V01V06V09.1V09.3V09.9V10-V11V16-V18V19.3V19.8-V19.9V80.0-V80.2V80.7-V80.9V87.9V88.9V89.1V89.3V89.9),0,N/A,10506
Total,Total,Other and unspecified land transport accidents(V01V06V09.1V09.3V09.9V10-V11V16-V18V19.3V19.8-V19.9V80.0-V80.2V80.7-V80.9V87.9V88.9V89.1V89.3V89.9),16,0.1,10509
Hispanic,2020 **,Water transport accidents(V90-V94),0,N/A,10512
Hispanic,2021 **,Water transport accidents(V90-V94),0,N/A,10515
Hispanic,Total,Water transport accidents(V90-V94),0,N/A,10518
Non-Hispanic,2020 **,Water transport accidents(V90-V94),16,0.1,10521
Non-Hispanic,2021 **,Water transport accidents(V90-V94),0,N/A,10524
Non-Hispanic,Total,Water transport accidents(V90-V94),16,0.1,10527
Unknown,2020 **,Water transport accidents(V90-V94),0,N/A,10530
Unknown,2021 **,Water transport accidents(V90-V94),0,N/A,10533
Unknown,Total,Water transport accidents(V90-V94),0,N/A,10536
Total,2020 **,Water transport accidents(V90-V94),16,0.1,10539
Total,2021 **,Water transport accidents(V90-V94),0,N/A,10542
Total,Total,Water transport accidents(V90-V94),16,0.1,10545
Hispanic,2020 **,Air and space transport accidents (V95-V97),0,N/A,10548
Hispanic,2021 **,Air and space transport accidents (V95-V97),0,N/A,10551
Hispanic,Total,Air and space transport accidents (V95-V97),0,N/A,10554
Non-Hispanic,2020 **,Air and space transport accidents (V95-V97),1,N/A,10557
Non-Hispanic,2021 **,Air and space transport accidents (V95-V97),0,N/A,10560
Non-Hispanic,Total,Air and space transport accidents (V95-V97),1,N/A,10563
Unknown,2020 **,Air and space transport accidents (V95-V97),0,N/A,10566
Unknown,2021 **,Air and space transport accidents (V95-V97),0,N/A,10569
Unknown,Total,Air and space transport accidents (V95-V97),0,N/A,10572
Total,2020 **,Air and space transport accidents (V95-V97),1,N/A,10575
Total,2021 **,Air and space transport accidents (V95-V97),0,N/A,10578
Total,Total,Air and space transport accidents (V95-V97),1,N/A,10581
Hispanic,2020 **,Other and unspecified transport accidents and their sequelae (V98-V99Y85),0,N/A,10584
Hispanic,2021 **,Other and unspecified transport accidents and their sequelae (V98-V99Y85),0,N/A,10587
Hispanic,Total,Other and unspecified transport accidents and their sequelae (V98-V99Y85),0,N/A,10590
Non-Hispanic,2020 **,Other and unspecified transport accidents and their sequelae (V98-V99Y85),19,0.2,10593
