DeathEducationLevelEducationLevel,DeathCOD113ICDCode113Desc,Deaths,DeathAgeAdjustedRate11,SORT
BACHELORS DEGREE (E.G. BA AB BS),Hyperplasia of prostate (N40),36,0.0,2595
MASTERS DEGREE (E.G. MA MS..),Hyperplasia of prostate (N40),17,0.0,2598
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,Hyperplasia of prostate (N40),14,0.0,2601
UNKNOWN,Hyperplasia of prostate (N40),8,N/A,2604
Total,Hyperplasia of prostate (N40),338,0.2,2607
8TH GRADE OR LESS,Inflammatory diseases of female pelvic organs (N70-N76),7,N/A,2610
9TH THRU 12TH GRADE; NO DIPLOMA,Inflammatory diseases of female pelvic organs (N70-N76),6,N/A,2613
HIGH SCHOOL GRADUATE OR GED,Inflammatory diseases of female pelvic organs (N70-N76),41,0.0,2616
COLLEGE BUT NO DEGREE,Inflammatory diseases of female pelvic organs (N70-N76),5,N/A,2619
ASSOCIATE DEGREE (E.G. AA AS),Inflammatory diseases of female pelvic organs (N70-N76),6,N/A,2622
BACHELORS DEGREE (E.G. BA AB BS),Inflammatory diseases of female pelvic organs (N70-N76),2,N/A,2625
MASTERS DEGREE (E.G. MA MS..),Inflammatory diseases of female pelvic organs (N70-N76),3,N/A,2628
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,Inflammatory diseases of female pelvic organs (N70-N76),1,N/A,2631
UNKNOWN,Inflammatory diseases of female pelvic organs (N70-N76),0,N/A,2634
Total,Inflammatory diseases of female pelvic organs (N70-N76),71,0.0,2637
8TH GRADE OR LESS,Pregnancy with abortive outcome (O00-O07),0,N/A,2640
9TH THRU 12TH GRADE; NO DIPLOMA,Pregnancy with abortive outcome (O00-O07),1,N/A,2643
HIGH SCHOOL GRADUATE OR GED,Pregnancy with abortive outcome (O00-O07),4,N/A,2646
COLLEGE BUT NO DEGREE,Pregnancy with abortive outcome (O00-O07),0,N/A,2649
ASSOCIATE DEGREE (E.G. AA AS),Pregnancy with abortive outcome (O00-O07),0,N/A,2652
BACHELORS DEGREE (E.G. BA AB BS),Pregnancy with abortive outcome (O00-O07),0,N/A,2655
MASTERS DEGREE (E.G. MA MS..),Pregnancy with abortive outcome (O00-O07),0,N/A,2658
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,Pregnancy with abortive outcome (O00-O07),1,N/A,2661
UNKNOWN,Pregnancy with abortive outcome (O00-O07),1,N/A,2664
Total,Pregnancy with abortive outcome (O00-O07),7,N/A,2667
8TH GRADE OR LESS,Other complications of pregnancy childbirth and the puerperium (O10-O99),16,0.0,2670
9TH THRU 12TH GRADE; NO DIPLOMA,Other complications of pregnancy childbirth and the puerperium (O10-O99),74,0.0,2673
HIGH SCHOOL GRADUATE OR GED,Other complications of pregnancy childbirth and the puerperium (O10-O99),202,0.1,2676
COLLEGE BUT NO DEGREE,Other complications of pregnancy childbirth and the puerperium (O10-O99),61,0.0,2679
ASSOCIATE DEGREE (E.G. AA AS),Other complications of pregnancy childbirth and the puerperium (O10-O99),46,0.0,2682
BACHELORS DEGREE (E.G. BA AB BS),Other complications of pregnancy childbirth and the puerperium (O10-O99),45,0.0,2685
MASTERS DEGREE (E.G. MA MS..),Other complications of pregnancy childbirth and the puerperium (O10-O99),19,0.0,2688
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,Other complications of pregnancy childbirth and the puerperium (O10-O99),7,N/A,2691
UNKNOWN,Other complications of pregnancy childbirth and the puerperium (O10-O99),6,N/A,2694
Total,Other complications of pregnancy childbirth and the puerperium (O10-O99),476,0.3,2697
8TH GRADE OR LESS,Certain conditions originating in the perinatal period (P00-P96),4532,3.0,2700
9TH THRU 12TH GRADE; NO DIPLOMA,Certain conditions originating in the perinatal period (P00-P96),5,N/A,2703
HIGH SCHOOL GRADUATE OR GED,Certain conditions originating in the perinatal period (P00-P96),5,N/A,2706
COLLEGE BUT NO DEGREE,Certain conditions originating in the perinatal period (P00-P96),0,N/A,2709
ASSOCIATE DEGREE (E.G. AA AS),Certain conditions originating in the perinatal period (P00-P96),0,N/A,2712
BACHELORS DEGREE (E.G. BA AB BS),Certain conditions originating in the perinatal period (P00-P96),0,N/A,2715
MASTERS DEGREE (E.G. MA MS..),Certain conditions originating in the perinatal period (P00-P96),0,N/A,2718
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,Certain conditions originating in the perinatal period (P00-P96),0,N/A,2721
UNKNOWN,Certain conditions originating in the perinatal period (P00-P96),2759,1.8,2724
Total,Certain conditions originating in the perinatal period (P00-P96),7301,4.9,2727
8TH GRADE OR LESS,Congenital malformations deformations and chromosomal abnormalities (Q00-Q99),2347,1.5,2730
9TH THRU 12TH GRADE; NO DIPLOMA,Congenital malformations deformations and chromosomal abnormalities (Q00-Q99),300,0.2,2733
HIGH SCHOOL GRADUATE OR GED,Congenital malformations deformations and chromosomal abnormalities (Q00-Q99),1067,0.6,2736
COLLEGE BUT NO DEGREE,Congenital malformations deformations and chromosomal abnormalities (Q00-Q99),175,0.1,2739
ASSOCIATE DEGREE (E.G. AA AS),Congenital malformations deformations and chromosomal abnormalities (Q00-Q99),103,0.1,2742
BACHELORS DEGREE (E.G. BA AB BS),Congenital malformations deformations and chromosomal abnormalities (Q00-Q99),151,0.1,2745
MASTERS DEGREE (E.G. MA MS..),Congenital malformations deformations and chromosomal abnormalities (Q00-Q99),54,0.0,2748
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,Congenital malformations deformations and chromosomal abnormalities (Q00-Q99),13,0.0,2751
UNKNOWN,Congenital malformations deformations and chromosomal abnormalities (Q00-Q99),1514,0.9,2754
Total,Congenital malformations deformations and chromosomal abnormalities (Q00-Q99),5724,3.4,2757
8TH GRADE OR LESS,Symptoms signs and abnormal clinical and laboratory findings not elsewhere classified (R00-R99),3547,1.9,2760
9TH THRU 12TH GRADE; NO DIPLOMA,Symptoms signs and abnormal clinical and laboratory findings not elsewhere classified (R00-R99),4144,2.0,2763
HIGH SCHOOL GRADUATE OR GED,Symptoms signs and abnormal clinical and laboratory findings not elsewhere classified (R00-R99),16909,8.0,2766
COLLEGE BUT NO DEGREE,Symptoms signs and abnormal clinical and laboratory findings not elsewhere classified (R00-R99),2974,1.4,2769
ASSOCIATE DEGREE (E.G. AA AS),Symptoms signs and abnormal clinical and laboratory findings not elsewhere classified (R00-R99),1498,0.7,2772
BACHELORS DEGREE (E.G. BA AB BS),Symptoms signs and abnormal clinical and laboratory findings not elsewhere classified (R00-R99),2758,1.3,2775
MASTERS DEGREE (E.G. MA MS..),Symptoms signs and abnormal clinical and laboratory findings not elsewhere classified (R00-R99),899,0.4,2778
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,Symptoms signs and abnormal clinical and laboratory findings not elsewhere classified (R00-R99),377,0.2,2781
UNKNOWN,Symptoms signs and abnormal clinical and laboratory findings not elsewhere classified (R00-R99),1509,0.8,2784
Total,Symptoms signs and abnormal clinical and laboratory findings not elsewhere classified (R00-R99),34615,16.7,2787
8TH GRADE OR LESS,All other diseases (Residual) (D65-E07E15-E34E65-F99G04-G12G23-G25G31-H93K00-K22K29-K31K50-K66K71-K72K75-K76K83-M99N13.0-N13.5N13.7-N13.9N14N15.0N15.8-N15.9N20-N23N28-N39N41-N64N80-N98),16979,7.9,2790
9TH THRU 12TH GRADE; NO DIPLOMA,All other diseases (Residual) (D65-E07E15-E34E65-F99G04-G12G23-G25G31-H93K00-K22K29-K31K50-K66K71-K72K75-K76K83-M99N13.0-N13.5N13.7-N13.9N14N15.0N15.8-N15.9N20-N23N28-N39N41-N64N80-N98),23810,11.2,2793
HIGH SCHOOL GRADUATE OR GED,All other diseases (Residual) (D65-E07E15-E34E65-F99G04-G12G23-G25G31-H93K00-K22K29-K31K50-K66K71-K72K75-K76K83-M99N13.0-N13.5N13.7-N13.9N14N15.0N15.8-N15.9N20-N23N28-N39N41-N64N80-N98),97462,45.4,2796
COLLEGE BUT NO DEGREE,All other diseases (Residual) (D65-E07E15-E34E65-F99G04-G12G23-G25G31-H93K00-K22K29-K31K50-K66K71-K72K75-K76K83-M99N13.0-N13.5N13.7-N13.9N14N15.0N15.8-N15.9N20-N23N28-N39N41-N64N80-N98),17295,8.1,2799
ASSOCIATE DEGREE (E.G. AA AS),All other diseases (Residual) (D65-E07E15-E34E65-F99G04-G12G23-G25G31-H93K00-K22K29-K31K50-K66K71-K72K75-K76K83-M99N13.0-N13.5N13.7-N13.9N14N15.0N15.8-N15.9N20-N23N28-N39N41-N64N80-N98),9116,4.3,2802
BACHELORS DEGREE (E.G. BA AB BS),All other diseases (Residual) (D65-E07E15-E34E65-F99G04-G12G23-G25G31-H93K00-K22K29-K31K50-K66K71-K72K75-K76K83-M99N13.0-N13.5N13.7-N13.9N14N15.0N15.8-N15.9N20-N23N28-N39N41-N64N80-N98),16819,7.8,2805
MASTERS DEGREE (E.G. MA MS..),All other diseases (Residual) (D65-E07E15-E34E65-F99G04-G12G23-G25G31-H93K00-K22K29-K31K50-K66K71-K72K75-K76K83-M99N13.0-N13.5N13.7-N13.9N14N15.0N15.8-N15.9N20-N23N28-N39N41-N64N80-N98),6276,2.9,2808
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,All other diseases (Residual) (D65-E07E15-E34E65-F99G04-G12G23-G25G31-H93K00-K22K29-K31K50-K66K71-K72K75-K76K83-M99N13.0-N13.5N13.7-N13.9N14N15.0N15.8-N15.9N20-N23N28-N39N41-N64N80-N98),2460,1.1,2811
UNKNOWN,All other diseases (Residual) (D65-E07E15-E34E65-F99G04-G12G23-G25G31-H93K00-K22K29-K31K50-K66K71-K72K75-K76K83-M99N13.0-N13.5N13.7-N13.9N14N15.0N15.8-N15.9N20-N23N28-N39N41-N64N80-N98),5041,2.4,2814
Total,All other diseases (Residual) (D65-E07E15-E34E65-F99G04-G12G23-G25G31-H93K00-K22K29-K31K50-K66K71-K72K75-K76K83-M99N13.0-N13.5N13.7-N13.9N14N15.0N15.8-N15.9N20-N23N28-N39N41-N64N80-N98),195258,91.1,2817
8TH GRADE OR LESS,Motor vehicle accidents (V02-V04V09.0V09.2V12-V14V19.0-V19.2V19.4-V19.6V20-V79V80.3-V80.5V81.0-V81.1V82.0-V82.1V83-V86V87.0-V87.8V88.0-V88.8V89.0V89.2),1076,0.6,2820
9TH THRU 12TH GRADE; NO DIPLOMA,Motor vehicle accidents (V02-V04V09.0V09.2V12-V14V19.0-V19.2V19.4-V19.6V20-V79V80.3-V80.5V81.0-V81.1V82.0-V82.1V83-V86V87.0-V87.8V88.0-V88.8V89.0V89.2),2610,1.5,2823
HIGH SCHOOL GRADUATE OR GED,Motor vehicle accidents (V02-V04V09.0V09.2V12-V14V19.0-V19.2V19.4-V19.6V20-V79V80.3-V80.5V81.0-V81.1V82.0-V82.1V83-V86V87.0-V87.8V88.0-V88.8V89.0V89.2),8579,4.8,2826
COLLEGE BUT NO DEGREE,Motor vehicle accidents (V02-V04V09.0V09.2V12-V14V19.0-V19.2V19.4-V19.6V20-V79V80.3-V80.5V81.0-V81.1V82.0-V82.1V83-V86V87.0-V87.8V88.0-V88.8V89.0V89.2),1998,1.1,2829
ASSOCIATE DEGREE (E.G. AA AS),Motor vehicle accidents (V02-V04V09.0V09.2V12-V14V19.0-V19.2V19.4-V19.6V20-V79V80.3-V80.5V81.0-V81.1V82.0-V82.1V83-V86V87.0-V87.8V88.0-V88.8V89.0V89.2),932,0.5,2832
BACHELORS DEGREE (E.G. BA AB BS),Motor vehicle accidents (V02-V04V09.0V09.2V12-V14V19.0-V19.2V19.4-V19.6V20-V79V80.3-V80.5V81.0-V81.1V82.0-V82.1V83-V86V87.0-V87.8V88.0-V88.8V89.0V89.2),1221,0.7,2835
MASTERS DEGREE (E.G. MA MS..),Motor vehicle accidents (V02-V04V09.0V09.2V12-V14V19.0-V19.2V19.4-V19.6V20-V79V80.3-V80.5V81.0-V81.1V82.0-V82.1V83-V86V87.0-V87.8V88.0-V88.8V89.0V89.2),389,0.2,2838
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,Motor vehicle accidents (V02-V04V09.0V09.2V12-V14V19.0-V19.2V19.4-V19.6V20-V79V80.3-V80.5V81.0-V81.1V82.0-V82.1V83-V86V87.0-V87.8V88.0-V88.8V89.0V89.2),124,0.1,2841
UNKNOWN,Motor vehicle accidents (V02-V04V09.0V09.2V12-V14V19.0-V19.2V19.4-V19.6V20-V79V80.3-V80.5V81.0-V81.1V82.0-V82.1V83-V86V87.0-V87.8V88.0-V88.8V89.0V89.2),322,0.1,2844
Total,Motor vehicle accidents (V02-V04V09.0V09.2V12-V14V19.0-V19.2V19.4-V19.6V20-V79V80.3-V80.5V81.0-V81.1V82.0-V82.1V83-V86V87.0-V87.8V88.0-V88.8V89.0V89.2),17251,9.7,2847
8TH GRADE OR LESS,Other land transport accidents (V01V05-V06V09.1V09.3-V09.9V10-V11V15-V18V19.3V19.8-V19.9V80.0-V80.2V80.6-V80.9V81.2-V81.9V82.2-V82.9V87.9V88.9V89.1V89.3V89.9),45,0.0,2850
9TH THRU 12TH GRADE; NO DIPLOMA,Other land transport accidents (V01V05-V06V09.1V09.3-V09.9V10-V11V15-V18V19.3V19.8-V19.9V80.0-V80.2V80.6-V80.9V81.2-V81.9V82.2-V82.9V87.9V88.9V89.1V89.3V89.9),70,0.0,2853
HIGH SCHOOL GRADUATE OR GED,Other land transport accidents (V01V05-V06V09.1V09.3-V09.9V10-V11V15-V18V19.3V19.8-V19.9V80.0-V80.2V80.6-V80.9V81.2-V81.9V82.2-V82.9V87.9V88.9V89.1V89.3V89.9),167,0.1,2856
COLLEGE BUT NO DEGREE,Other land transport accidents (V01V05-V06V09.1V09.3-V09.9V10-V11V15-V18V19.3V19.8-V19.9V80.0-V80.2V80.6-V80.9V81.2-V81.9V82.2-V82.9V87.9V88.9V89.1V89.3V89.9),37,0.0,2859
ASSOCIATE DEGREE (E.G. AA AS),Other land transport accidents (V01V05-V06V09.1V09.3-V09.9V10-V11V15-V18V19.3V19.8-V19.9V80.0-V80.2V80.6-V80.9V81.2-V81.9V82.2-V82.9V87.9V88.9V89.1V89.3V89.9),16,0.0,2862
BACHELORS DEGREE (E.G. BA AB BS),Other land transport accidents (V01V05-V06V09.1V09.3-V09.9V10-V11V15-V18V19.3V19.8-V19.9V80.0-V80.2V80.6-V80.9V81.2-V81.9V82.2-V82.9V87.9V88.9V89.1V89.3V89.9),32,0.0,2865
MASTERS DEGREE (E.G. MA MS..),Other land transport accidents (V01V05-V06V09.1V09.3-V09.9V10-V11V15-V18V19.3V19.8-V19.9V80.0-V80.2V80.6-V80.9V81.2-V81.9V82.2-V82.9V87.9V88.9V89.1V89.3V89.9),16,0.0,2868
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,Other land transport accidents (V01V05-V06V09.1V09.3-V09.9V10-V11V15-V18V19.3V19.8-V19.9V80.0-V80.2V80.6-V80.9V81.2-V81.9V82.2-V82.9V87.9V88.9V89.1V89.3V89.9),10,0.0,2871
UNKNOWN,Other land transport accidents (V01V05-V06V09.1V09.3-V09.9V10-V11V15-V18V19.3V19.8-V19.9V80.0-V80.2V80.6-V80.9V81.2-V81.9V82.2-V82.9V87.9V88.9V89.1V89.3V89.9),12,0.0,2874
Total,Other land transport accidents (V01V05-V06V09.1V09.3-V09.9V10-V11V15-V18V19.3V19.8-V19.9V80.0-V80.2V80.6-V80.9V81.2-V81.9V82.2-V82.9V87.9V88.9V89.1V89.3V89.9),405,0.2,2877
8TH GRADE OR LESS,Water air and space and other and unspecified transport accidents and their sequelae (V90-V99Y85),23,0.0,2880
9TH THRU 12TH GRADE; NO DIPLOMA,Water air and space and other and unspecified transport accidents and their sequelae (V90-V99Y85),70,0.0,2883
HIGH SCHOOL GRADUATE OR GED,Water air and space and other and unspecified transport accidents and their sequelae (V90-V99Y85),296,0.2,2886
COLLEGE BUT NO DEGREE,Water air and space and other and unspecified transport accidents and their sequelae (V90-V99Y85),97,0.1,2889
ASSOCIATE DEGREE (E.G. AA AS),Water air and space and other and unspecified transport accidents and their sequelae (V90-V99Y85),42,0.0,2892
BACHELORS DEGREE (E.G. BA AB BS),Water air and space and other and unspecified transport accidents and their sequelae (V90-V99Y85),80,0.0,2895
MASTERS DEGREE (E.G. MA MS..),Water air and space and other and unspecified transport accidents and their sequelae (V90-V99Y85),31,0.0,2898
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,Water air and space and other and unspecified transport accidents and their sequelae (V90-V99Y85),13,0.0,2901
UNKNOWN,Water air and space and other and unspecified transport accidents and their sequelae (V90-V99Y85),17,0.0,2904
Total,Water air and space and other and unspecified transport accidents and their sequelae (V90-V99Y85),669,0.4,2907
8TH GRADE OR LESS,Falls (W00-W19),1382,0.6,2910
9TH THRU 12TH GRADE; NO DIPLOMA,Falls (W00-W19),2041,1.0,2913
HIGH SCHOOL GRADUATE OR GED,Falls (W00-W19),9117,4.3,2916
COLLEGE BUT NO DEGREE,Falls (W00-W19),1736,0.8,2919
ASSOCIATE DEGREE (E.G. AA AS),Falls (W00-W19),858,0.4,2922
BACHELORS DEGREE (E.G. BA AB BS),Falls (W00-W19),1825,0.8,2925
MASTERS DEGREE (E.G. MA MS..),Falls (W00-W19),716,0.3,2928
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,Falls (W00-W19),347,0.2,2931
UNKNOWN,Falls (W00-W19),339,0.1,2934
Total,Falls (W00-W19),18361,8.6,2937
8TH GRADE OR LESS,Accidental discharge of firearms (W32-W34),28,0.0,2940
9TH THRU 12TH GRADE; NO DIPLOMA,Accidental discharge of firearms (W32-W34),41,0.0,2943
HIGH SCHOOL GRADUATE OR GED,Accidental discharge of firearms (W32-W34),90,0.1,2946
COLLEGE BUT NO DEGREE,Accidental discharge of firearms (W32-W34),22,0.0,2949
ASSOCIATE DEGREE (E.G. AA AS),Accidental discharge of firearms (W32-W34),9,N/A,2952
BACHELORS DEGREE (E.G. BA AB BS),Accidental discharge of firearms (W32-W34),9,N/A,2955
MASTERS DEGREE (E.G. MA MS..),Accidental discharge of firearms (W32-W34),1,N/A,2958
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,Accidental discharge of firearms (W32-W34),1,N/A,2961
UNKNOWN,Accidental discharge of firearms (W32-W34),3,N/A,2964
Total,Accidental discharge of firearms (W32-W34),204,0.1,2967
8TH GRADE OR LESS,Accidental drowning and submersion (W65-W74),313,0.2,2970
9TH THRU 12TH GRADE; NO DIPLOMA,Accidental drowning and submersion (W65-W74),197,0.1,2973
HIGH SCHOOL GRADUATE OR GED,Accidental drowning and submersion (W65-W74),490,0.3,2976
COLLEGE BUT NO DEGREE,Accidental drowning and submersion (W65-W74),150,0.1,2979
ASSOCIATE DEGREE (E.G. AA AS),Accidental drowning and submersion (W65-W74),40,0.0,2982
BACHELORS DEGREE (E.G. BA AB BS),Accidental drowning and submersion (W65-W74),84,0.0,2985
MASTERS DEGREE (E.G. MA MS..),Accidental drowning and submersion (W65-W74),42,0.0,2988
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,Accidental drowning and submersion (W65-W74),10,0.0,2991
UNKNOWN,Accidental drowning and submersion (W65-W74),90,0.1,2994
Total,Accidental drowning and submersion (W65-W74),1416,0.8,2997
8TH GRADE OR LESS,Accidental exposure to smoke fire and flames (X00-X09),270,0.2,3000
9TH THRU 12TH GRADE; NO DIPLOMA,Accidental exposure to smoke fire and flames (X00-X09),221,0.1,3003
HIGH SCHOOL GRADUATE OR GED,Accidental exposure to smoke fire and flames (X00-X09),708,0.4,3006
COLLEGE BUT NO DEGREE,Accidental exposure to smoke fire and flames (X00-X09),152,0.1,3009
ASSOCIATE DEGREE (E.G. AA AS),Accidental exposure to smoke fire and flames (X00-X09),86,0.0,3012
BACHELORS DEGREE (E.G. BA AB BS),Accidental exposure to smoke fire and flames (X00-X09),86,0.0,3015
MASTERS DEGREE (E.G. MA MS..),Accidental exposure to smoke fire and flames (X00-X09),31,0.0,3018
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,Accidental exposure to smoke fire and flames (X00-X09),7,N/A,3021
UNKNOWN,Accidental exposure to smoke fire and flames (X00-X09),53,0.0,3024
Total,Accidental exposure to smoke fire and flames (X00-X09),1614,0.8,3027
8TH GRADE OR LESS,Accidental poisoning and exposure to noxious substances (X40-X49),1045,0.6,3030
9TH THRU 12TH GRADE; NO DIPLOMA,Accidental poisoning and exposure to noxious substances (X40-X49),7799,4.7,3033
HIGH SCHOOL GRADUATE OR GED,Accidental poisoning and exposure to noxious substances (X40-X49),21396,12.8,3036
COLLEGE BUT NO DEGREE,Accidental poisoning and exposure to noxious substances (X40-X49),4687,2.8,3039
ASSOCIATE DEGREE (E.G. AA AS),Accidental poisoning and exposure to noxious substances (X40-X49),1879,1.1,3042
BACHELORS DEGREE (E.G. BA AB BS),Accidental poisoning and exposure to noxious substances (X40-X49),1550,0.9,3045
MASTERS DEGREE (E.G. MA MS..),Accidental poisoning and exposure to noxious substances (X40-X49),302,0.2,3048
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,Accidental poisoning and exposure to noxious substances (X40-X49),97,0.1,3051
UNKNOWN,Accidental poisoning and exposure to noxious substances (X40-X49),802,0.4,3054
Total,Accidental poisoning and exposure to noxious substances (X40-X49),39557,23.6,3057
8TH GRADE OR LESS,Other and unspecified nontransport accidents and their sequelae (W20-W31W35-W64W75-W99X10-X39X50-X59Y86),1424,0.8,3060
9TH THRU 12TH GRADE; NO DIPLOMA,Other and unspecified nontransport accidents and their sequelae (W20-W31W35-W64W75-W99X10-X39X50-X59Y86),1247,0.6,3063
HIGH SCHOOL GRADUATE OR GED,Other and unspecified nontransport accidents and their sequelae (W20-W31W35-W64W75-W99X10-X39X50-X59Y86),4832,2.3,3066
COLLEGE BUT NO DEGREE,Other and unspecified nontransport accidents and their sequelae (W20-W31W35-W64W75-W99X10-X39X50-X59Y86),860,0.4,3069
ASSOCIATE DEGREE (E.G. AA AS),Other and unspecified nontransport accidents and their sequelae (W20-W31W35-W64W75-W99X10-X39X50-X59Y86),465,0.2,3072
BACHELORS DEGREE (E.G. BA AB BS),Other and unspecified nontransport accidents and their sequelae (W20-W31W35-W64W75-W99X10-X39X50-X59Y86),740,0.4,3075
MASTERS DEGREE (E.G. MA MS..),Other and unspecified nontransport accidents and their sequelae (W20-W31W35-W64W75-W99X10-X39X50-X59Y86),230,0.1,3078
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,Other and unspecified nontransport accidents and their sequelae (W20-W31W35-W64W75-W99X10-X39X50-X59Y86),119,0.1,3081
UNKNOWN,Other and unspecified nontransport accidents and their sequelae (W20-W31W35-W64W75-W99X10-X39X50-X59Y86),613,0.3,3084
Total,Other and unspecified nontransport accidents and their sequelae (W20-W31W35-W64W75-W99X10-X39X50-X59Y86),10530,5.3,3087
8TH GRADE OR LESS,Intentional self-harm (suicide) by discharge of firearms (X72-X74),358,0.2,3090
9TH THRU 12TH GRADE; NO DIPLOMA,Intentional self-harm (suicide) by discharge of firearms (X72-X74),1362,0.8,3093
HIGH SCHOOL GRADUATE OR GED,Intentional self-harm (suicide) by discharge of firearms (X72-X74),5773,3.1,3096
COLLEGE BUT NO DEGREE,Intentional self-harm (suicide) by discharge of firearms (X72-X74),1453,0.8,3099
ASSOCIATE DEGREE (E.G. AA AS),Intentional self-harm (suicide) by discharge of firearms (X72-X74),706,0.4,3102
BACHELORS DEGREE (E.G. BA AB BS),Intentional self-harm (suicide) by discharge of firearms (X72-X74),1075,0.6,3105
MASTERS DEGREE (E.G. MA MS..),Intentional self-harm (suicide) by discharge of firearms (X72-X74),310,0.2,3108
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,Intentional self-harm (suicide) by discharge of firearms (X72-X74),132,0.1,3111
UNKNOWN,Intentional self-harm (suicide) by discharge of firearms (X72-X74),124,0.1,3114
Total,Intentional self-harm (suicide) by discharge of firearms (X72-X74),11293,6.2,3117
8TH GRADE OR LESS,Intentional self-harm (suicide) by other and unspecified means and their sequelae (*U03X60-X71X75-X84Y87.0),369,0.2,3120
9TH THRU 12TH GRADE; NO DIPLOMA,Intentional self-harm (suicide) by other and unspecified means and their sequelae (*U03X60-X71X75-X84Y87.0),1558,0.9,3123
HIGH SCHOOL GRADUATE OR GED,Intentional self-harm (suicide) by other and unspecified means and their sequelae (*U03X60-X71X75-X84Y87.0),4782,2.8,3126
COLLEGE BUT NO DEGREE,Intentional self-harm (suicide) by other and unspecified means and their sequelae (*U03X60-X71X75-X84Y87.0),1433,0.8,3129
ASSOCIATE DEGREE (E.G. AA AS),Intentional self-harm (suicide) by other and unspecified means and their sequelae (*U03X60-X71X75-X84Y87.0),634,0.4,3132
BACHELORS DEGREE (E.G. BA AB BS),Intentional self-harm (suicide) by other and unspecified means and their sequelae (*U03X60-X71X75-X84Y87.0),1024,0.6,3135
MASTERS DEGREE (E.G. MA MS..),Intentional self-harm (suicide) by other and unspecified means and their sequelae (*U03X60-X71X75-X84Y87.0),309,0.2,3138
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,Intentional self-harm (suicide) by other and unspecified means and their sequelae (*U03X60-X71X75-X84Y87.0),171,0.1,3141
UNKNOWN,Intentional self-harm (suicide) by other and unspecified means and their sequelae (*U03X60-X71X75-X84Y87.0),164,0.1,3144
Total,Intentional self-harm (suicide) by other and unspecified means and their sequelae (*U03X60-X71X75-X84Y87.0),10444,6.0,3147
8TH GRADE OR LESS,Assault (homicide) by discharge of firearms (*U01.4X93-X95),295,0.2,3150
9TH THRU 12TH GRADE; NO DIPLOMA,Assault (homicide) by discharge of firearms (*U01.4X93-X95),1960,1.2,3153
HIGH SCHOOL GRADUATE OR GED,Assault (homicide) by discharge of firearms (*U01.4X93-X95),3398,2.1,3156
COLLEGE BUT NO DEGREE,Assault (homicide) by discharge of firearms (*U01.4X93-X95),661,0.4,3159
ASSOCIATE DEGREE (E.G. AA AS),Assault (homicide) by discharge of firearms (*U01.4X93-X95),255,0.2,3162
BACHELORS DEGREE (E.G. BA AB BS),Assault (homicide) by discharge of firearms (*U01.4X93-X95),167,0.1,3165
MASTERS DEGREE (E.G. MA MS..),Assault (homicide) by discharge of firearms (*U01.4X93-X95),39,0.0,3168
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,Assault (homicide) by discharge of firearms (*U01.4X93-X95),15,0.0,3171
UNKNOWN,Assault (homicide) by discharge of firearms (*U01.4X93-X95),112,0.1,3174
Total,Assault (homicide) by discharge of firearms (*U01.4X93-X95),6902,4.2,3177
8TH GRADE OR LESS,Assault (homicide) by other and unspecified means and their sequelae (*U01.0-*U01.3*U01.5-*U01.9*U02X85-X92X96-Y09Y87.1),455,0.3,3180
9TH THRU 12TH GRADE; NO DIPLOMA,Assault (homicide) by other and unspecified means and their sequelae (*U01.0-*U01.3*U01.5-*U01.9*U02X85-X92X96-Y09Y87.1),483,0.3,3183
HIGH SCHOOL GRADUATE OR GED,Assault (homicide) by other and unspecified means and their sequelae (*U01.0-*U01.3*U01.5-*U01.9*U02X85-X92X96-Y09Y87.1),1010,0.6,3186
COLLEGE BUT NO DEGREE,Assault (homicide) by other and unspecified means and their sequelae (*U01.0-*U01.3*U01.5-*U01.9*U02X85-X92X96-Y09Y87.1),234,0.1,3189
ASSOCIATE DEGREE (E.G. AA AS),Assault (homicide) by other and unspecified means and their sequelae (*U01.0-*U01.3*U01.5-*U01.9*U02X85-X92X96-Y09Y87.1),97,0.1,3192
BACHELORS DEGREE (E.G. BA AB BS),Assault (homicide) by other and unspecified means and their sequelae (*U01.0-*U01.3*U01.5-*U01.9*U02X85-X92X96-Y09Y87.1),83,0.0,3195
