DeathAgeGroupNCIAgeNCI,DeathCOD113ICDCode113Desc,Deaths,DeathAgeAdjustedRate11,SORT
1 to 4,Diseases of pericardium and acute myocarditis (I30-I31I40),10,0.0,3468
5 to 9,Diseases of pericardium and acute myocarditis (I30-I31I40),3,N/A,3471
10 to 14,Diseases of pericardium and acute myocarditis (I30-I31I40),1,N/A,3474
15 to 19,Diseases of pericardium and acute myocarditis (I30-I31I40),9,N/A,3477
20 to 24,Diseases of pericardium and acute myocarditis (I30-I31I40),8,N/A,3480
25 to 29,Diseases of pericardium and acute myocarditis (I30-I31I40),16,0.0,3483
30 to 34,Diseases of pericardium and acute myocarditis (I30-I31I40),7,N/A,3486
35 to 39,Diseases of pericardium and acute myocarditis (I30-I31I40),8,N/A,3489
40 to 44,Diseases of pericardium and acute myocarditis (I30-I31I40),17,0.0,3492
45 to 49,Diseases of pericardium and acute myocarditis (I30-I31I40),22,0.0,3495
50 to 54,Diseases of pericardium and acute myocarditis (I30-I31I40),29,0.0,3498
55 to 59,Diseases of pericardium and acute myocarditis (I30-I31I40),50,0.0,3501
60 to 64,Diseases of pericardium and acute myocarditis (I30-I31I40),41,0.0,3504
65 to 69,Diseases of pericardium and acute myocarditis (I30-I31I40),46,0.0,3507
70 to 74,Diseases of pericardium and acute myocarditis (I30-I31I40),58,0.1,3510
75 to 79,Diseases of pericardium and acute myocarditis (I30-I31I40),48,0.0,3513
80 to 84,Diseases of pericardium and acute myocarditis (I30-I31I40),67,0.1,3516
85 and older,Diseases of pericardium and acute myocarditis (I30-I31I40),78,0.0,3519
Unknown,Diseases of pericardium and acute myocarditis (I30-I31I40),0,N/A,3522
Total,Diseases of pericardium and acute myocarditis (I30-I31I40),524,0.3,3525
Less than 1,Heart failure (I50),9,N/A,3528
1 to 4,Heart failure (I50),4,N/A,3531
5 to 9,Heart failure (I50),2,N/A,3534
10 to 14,Heart failure (I50),2,N/A,3537
15 to 19,Heart failure (I50),6,N/A,3540
20 to 24,Heart failure (I50),9,N/A,3543
25 to 29,Heart failure (I50),24,0.0,3546
30 to 34,Heart failure (I50),42,0.1,3549
35 to 39,Heart failure (I50),48,0.1,3552
40 to 44,Heart failure (I50),112,0.2,3555
45 to 49,Heart failure (I50),205,0.2,3558
50 to 54,Heart failure (I50),440,0.5,3561
55 to 59,Heart failure (I50),760,0.5,3564
60 to 64,Heart failure (I50),1299,1.0,3567
65 to 69,Heart failure (I50),1864,1.4,3570
70 to 74,Heart failure (I50),2660,2.7,3573
75 to 79,Heart failure (I50),4011,3.7,3576
80 to 84,Heart failure (I50),6186,7.7,3579
85 and older,Heart failure (I50),21955,9.3,3582
Unknown,Heart failure (I50),29,N/A,3585
Total,Heart failure (I50),39667,18.1,3588
Less than 1,All other forms of heart disease (I26-I28I34-I38I42-I49I51),150,0.1,3591
1 to 4,All other forms of heart disease (I26-I28I34-I38I42-I49I51),66,0.0,3594
5 to 9,All other forms of heart disease (I26-I28I34-I38I42-I49I51),37,0.0,3597
10 to 14,All other forms of heart disease (I26-I28I34-I38I42-I49I51),41,0.1,3600
15 to 19,All other forms of heart disease (I26-I28I34-I38I42-I49I51),119,0.1,3603
20 to 24,All other forms of heart disease (I26-I28I34-I38I42-I49I51),257,0.3,3606
25 to 29,All other forms of heart disease (I26-I28I34-I38I42-I49I51),349,0.4,3609
30 to 34,All other forms of heart disease (I26-I28I34-I38I42-I49I51),543,0.7,3612
35 to 39,All other forms of heart disease (I26-I28I34-I38I42-I49I51),795,1.2,3615
40 to 44,All other forms of heart disease (I26-I28I34-I38I42-I49I51),1173,1.8,3618
45 to 49,All other forms of heart disease (I26-I28I34-I38I42-I49I51),1747,2.0,3621
50 to 54,All other forms of heart disease (I26-I28I34-I38I42-I49I51),2707,3.0,3624
55 to 59,All other forms of heart disease (I26-I28I34-I38I42-I49I51),3916,2.8,3627
60 to 64,All other forms of heart disease (I26-I28I34-I38I42-I49I51),5131,4.1,3630
65 to 69,All other forms of heart disease (I26-I28I34-I38I42-I49I51),6023,4.6,3633
70 to 74,All other forms of heart disease (I26-I28I34-I38I42-I49I51),6975,7.1,3636
75 to 79,All other forms of heart disease (I26-I28I34-I38I42-I49I51),8594,8.0,3639
80 to 84,All other forms of heart disease (I26-I28I34-I38I42-I49I51),11599,14.5,3642
85 and older,All other forms of heart disease (I26-I28I34-I38I42-I49I51),32325,13.7,3645
Unknown,All other forms of heart disease (I26-I28I34-I38I42-I49I51),83,N/A,3648
Total,All other forms of heart disease (I26-I28I34-I38I42-I49I51),82630,38.6,3651
Less than 1,Essential (primary) hypertension and hypertensive renal disease (I10I12I15),0,N/A,3654
1 to 4,Essential (primary) hypertension and hypertensive renal disease (I10I12I15),1,N/A,3657
5 to 9,Essential (primary) hypertension and hypertensive renal disease (I10I12I15),0,N/A,3660
10 to 14,Essential (primary) hypertension and hypertensive renal disease (I10I12I15),0,N/A,3663
15 to 19,Essential (primary) hypertension and hypertensive renal disease (I10I12I15),2,N/A,3666
20 to 24,Essential (primary) hypertension and hypertensive renal disease (I10I12I15),6,N/A,3669
25 to 29,Essential (primary) hypertension and hypertensive renal disease (I10I12I15),15,0.0,3672
30 to 34,Essential (primary) hypertension and hypertensive renal disease (I10I12I15),32,0.0,3675
35 to 39,Essential (primary) hypertension and hypertensive renal disease (I10I12I15),81,0.1,3678
40 to 44,Essential (primary) hypertension and hypertensive renal disease (I10I12I15),141,0.2,3681
45 to 49,Essential (primary) hypertension and hypertensive renal disease (I10I12I15),290,0.3,3684
50 to 54,Essential (primary) hypertension and hypertensive renal disease (I10I12I15),498,0.5,3687
55 to 59,Essential (primary) hypertension and hypertensive renal disease (I10I12I15),819,0.6,3690
60 to 64,Essential (primary) hypertension and hypertensive renal disease (I10I12I15),1059,0.9,3693
65 to 69,Essential (primary) hypertension and hypertensive renal disease (I10I12I15),1263,1.0,3696
70 to 74,Essential (primary) hypertension and hypertensive renal disease (I10I12I15),1383,1.4,3699
75 to 79,Essential (primary) hypertension and hypertensive renal disease (I10I12I15),1867,1.7,3702
80 to 84,Essential (primary) hypertension and hypertensive renal disease (I10I12I15),2785,3.5,3705
85 and older,Essential (primary) hypertension and hypertensive renal disease (I10I12I15),8395,3.6,3708
Unknown,Essential (primary) hypertension and hypertensive renal disease (I10I12I15),8,N/A,3711
Total,Essential (primary) hypertension and hypertensive renal disease (I10I12I15),18645,8.6,3714
Less than 1,Cerebrovascular diseases (I60-I69),71,0.0,3717
1 to 4,Cerebrovascular diseases (I60-I69),40,0.0,3720
5 to 9,Cerebrovascular diseases (I60-I69),28,0.0,3723
10 to 14,Cerebrovascular diseases (I60-I69),28,0.0,3726
15 to 19,Cerebrovascular diseases (I60-I69),38,0.0,3729
20 to 24,Cerebrovascular diseases (I60-I69),61,0.1,3732
25 to 29,Cerebrovascular diseases (I60-I69),103,0.1,3735
30 to 34,Cerebrovascular diseases (I60-I69),177,0.2,3738
35 to 39,Cerebrovascular diseases (I60-I69),350,0.5,3741
40 to 44,Cerebrovascular diseases (I60-I69),615,0.9,3744
45 to 49,Cerebrovascular diseases (I60-I69),1124,1.3,3747
50 to 54,Cerebrovascular diseases (I60-I69),1810,2.0,3750
55 to 59,Cerebrovascular diseases (I60-I69),2767,2.0,3753
60 to 64,Cerebrovascular diseases (I60-I69),3916,3.2,3756
65 to 69,Cerebrovascular diseases (I60-I69),5186,4.0,3759
70 to 74,Cerebrovascular diseases (I60-I69),7015,7.2,3762
75 to 79,Cerebrovascular diseases (I60-I69),10058,9.4,3765
80 to 84,Cerebrovascular diseases (I60-I69),14126,17.7,3768
85 and older,Cerebrovascular diseases (I60-I69),36284,15.4,3771
Unknown,Cerebrovascular diseases (I60-I69),90,N/A,3774
Total,Cerebrovascular diseases (I60-I69),83887,38.9,3777
Less than 1,Atherosclerosis (I70),1,N/A,3780
1 to 4,Atherosclerosis (I70),0,N/A,3783
5 to 9,Atherosclerosis (I70),0,N/A,3786
10 to 14,Atherosclerosis (I70),1,N/A,3789
15 to 19,Atherosclerosis (I70),1,N/A,3792
20 to 24,Atherosclerosis (I70),0,N/A,3795
25 to 29,Atherosclerosis (I70),1,N/A,3798
30 to 34,Atherosclerosis (I70),2,N/A,3801
35 to 39,Atherosclerosis (I70),4,N/A,3804
40 to 44,Atherosclerosis (I70),6,N/A,3807
45 to 49,Atherosclerosis (I70),22,0.0,3810
50 to 54,Atherosclerosis (I70),46,0.1,3813
55 to 59,Atherosclerosis (I70),98,0.1,3816
60 to 64,Atherosclerosis (I70),143,0.1,3819
65 to 69,Atherosclerosis (I70),202,0.2,3822
70 to 74,Atherosclerosis (I70),273,0.3,3825
75 to 79,Atherosclerosis (I70),382,0.4,3828
80 to 84,Atherosclerosis (I70),646,0.8,3831
85 and older,Atherosclerosis (I70),2204,0.9,3834
Unknown,Atherosclerosis (I70),1,N/A,3837
Total,Atherosclerosis (I70),4033,1.8,3840
Less than 1,Aortic aneurysm and dissection (I71),0,N/A,3843
1 to 4,Aortic aneurysm and dissection (I71),0,N/A,3846
5 to 9,Aortic aneurysm and dissection (I71),2,N/A,3849
10 to 14,Aortic aneurysm and dissection (I71),2,N/A,3852
15 to 19,Aortic aneurysm and dissection (I71),3,N/A,3855
20 to 24,Aortic aneurysm and dissection (I71),9,N/A,3858
25 to 29,Aortic aneurysm and dissection (I71),29,0.0,3861
30 to 34,Aortic aneurysm and dissection (I71),47,0.1,3864
35 to 39,Aortic aneurysm and dissection (I71),65,0.1,3867
40 to 44,Aortic aneurysm and dissection (I71),139,0.2,3870
45 to 49,Aortic aneurysm and dissection (I71),161,0.2,3873
50 to 54,Aortic aneurysm and dissection (I71),216,0.2,3876
55 to 59,Aortic aneurysm and dissection (I71),315,0.2,3879
60 to 64,Aortic aneurysm and dissection (I71),509,0.4,3882
65 to 69,Aortic aneurysm and dissection (I71),616,0.5,3885
70 to 74,Aortic aneurysm and dissection (I71),779,0.8,3888
75 to 79,Aortic aneurysm and dissection (I71),858,0.8,3891
80 to 84,Aortic aneurysm and dissection (I71),1020,1.3,3894
85 and older,Aortic aneurysm and dissection (I71),1777,0.8,3897
Unknown,Aortic aneurysm and dissection (I71),14,N/A,3900
Total,Aortic aneurysm and dissection (I71),6561,3.1,3903
Less than 1,Other diseases of arteries arterioles and capillaries (I72-I78),4,N/A,3906
1 to 4,Other diseases of arteries arterioles and capillaries (I72-I78),1,N/A,3909
5 to 9,Other diseases of arteries arterioles and capillaries (I72-I78),3,N/A,3912
10 to 14,Other diseases of arteries arterioles and capillaries (I72-I78),0,N/A,3915
15 to 19,Other diseases of arteries arterioles and capillaries (I72-I78),4,N/A,3918
20 to 24,Other diseases of arteries arterioles and capillaries (I72-I78),4,N/A,3921
25 to 29,Other diseases of arteries arterioles and capillaries (I72-I78),11,0.0,3924
30 to 34,Other diseases of arteries arterioles and capillaries (I72-I78),15,0.0,3927
35 to 39,Other diseases of arteries arterioles and capillaries (I72-I78),31,0.0,3930
40 to 44,Other diseases of arteries arterioles and capillaries (I72-I78),40,0.1,3933
45 to 49,Other diseases of arteries arterioles and capillaries (I72-I78),89,0.1,3936
50 to 54,Other diseases of arteries arterioles and capillaries (I72-I78),141,0.2,3939
55 to 59,Other diseases of arteries arterioles and capillaries (I72-I78),263,0.2,3942
60 to 64,Other diseases of arteries arterioles and capillaries (I72-I78),387,0.3,3945
65 to 69,Other diseases of arteries arterioles and capillaries (I72-I78),518,0.4,3948
70 to 74,Other diseases of arteries arterioles and capillaries (I72-I78),671,0.7,3951
75 to 79,Other diseases of arteries arterioles and capillaries (I72-I78),752,0.7,3954
80 to 84,Other diseases of arteries arterioles and capillaries (I72-I78),860,1.1,3957
85 and older,Other diseases of arteries arterioles and capillaries (I72-I78),2239,0.9,3960
Unknown,Other diseases of arteries arterioles and capillaries (I72-I78),6,N/A,3963
Total,Other diseases of arteries arterioles and capillaries (I72-I78),6039,2.8,3966
Less than 1,Other disorders of circulatory system (I80-I99),11,0.0,3969
1 to 4,Other disorders of circulatory system (I80-I99),2,N/A,3972
5 to 9,Other disorders of circulatory system (I80-I99),1,N/A,3975
10 to 14,Other disorders of circulatory system (I80-I99),2,N/A,3978
15 to 19,Other disorders of circulatory system (I80-I99),11,0.0,3981
20 to 24,Other disorders of circulatory system (I80-I99),15,0.0,3984
25 to 29,Other disorders of circulatory system (I80-I99),21,0.0,3987
30 to 34,Other disorders of circulatory system (I80-I99),55,0.1,3990
35 to 39,Other disorders of circulatory system (I80-I99),80,0.1,3993
40 to 44,Other disorders of circulatory system (I80-I99),122,0.2,3996
45 to 49,Other disorders of circulatory system (I80-I99),177,0.2,3999
50 to 54,Other disorders of circulatory system (I80-I99),169,0.2,4002
55 to 59,Other disorders of circulatory system (I80-I99),188,0.1,4005
60 to 64,Other disorders of circulatory system (I80-I99),204,0.2,4008
65 to 69,Other disorders of circulatory system (I80-I99),225,0.2,4011
70 to 74,Other disorders of circulatory system (I80-I99),227,0.2,4014
75 to 79,Other disorders of circulatory system (I80-I99),206,0.2,4017
80 to 84,Other disorders of circulatory system (I80-I99),229,0.3,4020
85 and older,Other disorders of circulatory system (I80-I99),536,0.2,4023
Unknown,Other disorders of circulatory system (I80-I99),9,N/A,4026
Total,Other disorders of circulatory system (I80-I99),2490,1.2,4029
Less than 1,Influenza (J09-J11),4,N/A,4032
1 to 4,Influenza (J09-J11),16,0.0,4035
5 to 9,Influenza (J09-J11),10,0.0,4038
10 to 14,Influenza (J09-J11),11,0.0,4041
15 to 19,Influenza (J09-J11),13,0.0,4044
20 to 24,Influenza (J09-J11),16,0.0,4047
25 to 29,Influenza (J09-J11),25,0.0,4050
30 to 34,Influenza (J09-J11),31,0.0,4053
35 to 39,Influenza (J09-J11),33,0.1,4056
40 to 44,Influenza (J09-J11),39,0.1,4059
45 to 49,Influenza (J09-J11),80,0.1,4062
50 to 54,Influenza (J09-J11),96,0.1,4065
55 to 59,Influenza (J09-J11),161,0.1,4068
60 to 64,Influenza (J09-J11),161,0.1,4071
65 to 69,Influenza (J09-J11),145,0.1,4074
70 to 74,Influenza (J09-J11),164,0.2,4077
75 to 79,Influenza (J09-J11),165,0.2,4080
80 to 84,Influenza (J09-J11),246,0.3,4083
85 and older,Influenza (J09-J11),710,0.3,4086
Unknown,Influenza (J09-J11),3,N/A,4089
Total,Influenza (J09-J11),2129,1.0,4092
Less than 1,Pneumonia (J12-J18),98,0.1,4095
1 to 4,Pneumonia (J12-J18),39,0.0,4098
5 to 9,Pneumonia (J12-J18),10,0.0,4101
10 to 14,Pneumonia (J12-J18),25,0.0,4104
15 to 19,Pneumonia (J12-J18),19,0.0,4107
20 to 24,Pneumonia (J12-J18),45,0.1,4110
25 to 29,Pneumonia (J12-J18),73,0.1,4113
30 to 34,Pneumonia (J12-J18),111,0.1,4116
35 to 39,Pneumonia (J12-J18),154,0.2,4119
40 to 44,Pneumonia (J12-J18),263,0.4,4122
45 to 49,Pneumonia (J12-J18),415,0.5,4125
50 to 54,Pneumonia (J12-J18),698,0.8,4128
55 to 59,Pneumonia (J12-J18),1040,0.7,4131
60 to 64,Pneumonia (J12-J18),1412,1.1,4134
65 to 69,Pneumonia (J12-J18),1782,1.4,4137
70 to 74,Pneumonia (J12-J18),2259,2.3,4140
75 to 79,Pneumonia (J12-J18),3048,2.8,4143
80 to 84,Pneumonia (J12-J18),4373,5.5,4146
85 and older,Pneumonia (J12-J18),12302,5.2,4149
Unknown,Pneumonia (J12-J18),25,N/A,4152
Total,Pneumonia (J12-J18),28191,13.1,4155
Less than 1,Acute bronchitis and bronchiolitis (J20-J21),20,0.0,4158
1 to 4,Acute bronchitis and bronchiolitis (J20-J21),12,0.0,4161
5 to 9,Acute bronchitis and bronchiolitis (J20-J21),3,N/A,4164
10 to 14,Acute bronchitis and bronchiolitis (J20-J21),1,N/A,4167
15 to 19,Acute bronchitis and bronchiolitis (J20-J21),0,N/A,4170
20 to 24,Acute bronchitis and bronchiolitis (J20-J21),1,N/A,4173
25 to 29,Acute bronchitis and bronchiolitis (J20-J21),3,N/A,4176
30 to 34,Acute bronchitis and bronchiolitis (J20-J21),0,N/A,4179
35 to 39,Acute bronchitis and bronchiolitis (J20-J21),5,N/A,4182
40 to 44,Acute bronchitis and bronchiolitis (J20-J21),3,N/A,4185
45 to 49,Acute bronchitis and bronchiolitis (J20-J21),4,N/A,4188
50 to 54,Acute bronchitis and bronchiolitis (J20-J21),7,N/A,4191
55 to 59,Acute bronchitis and bronchiolitis (J20-J21),6,N/A,4194
60 to 64,Acute bronchitis and bronchiolitis (J20-J21),7,N/A,4197
65 to 69,Acute bronchitis and bronchiolitis (J20-J21),6,N/A,4200
70 to 74,Acute bronchitis and bronchiolitis (J20-J21),6,N/A,4203
75 to 79,Acute bronchitis and bronchiolitis (J20-J21),5,N/A,4206
80 to 84,Acute bronchitis and bronchiolitis (J20-J21),13,0.0,4209
85 and older,Acute bronchitis and bronchiolitis (J20-J21),66,0.0,4212
Unknown,Acute bronchitis and bronchiolitis (J20-J21),0,N/A,4215
Total,Acute bronchitis and bronchiolitis (J20-J21),168,0.1,4218
Less than 1,Unspecified acute lower respiratory infection (J22U049U071),1,N/A,4221
1 to 4,Unspecified acute lower respiratory infection (J22U049U071),0,N/A,4224
5 to 9,Unspecified acute lower respiratory infection (J22U049U071),1,N/A,4227
10 to 14,Unspecified acute lower respiratory infection (J22U049U071),0,N/A,4230
15 to 19,Unspecified acute lower respiratory infection (J22U049U071),1,N/A,4233
20 to 24,Unspecified acute lower respiratory infection (J22U049U071),3,N/A,4236
25 to 29,Unspecified acute lower respiratory infection (J22U049U071),9,N/A,4239
30 to 34,Unspecified acute lower respiratory infection (J22U049U071),26,0.0,4242
35 to 39,Unspecified acute lower respiratory infection (J22U049U071),37,0.1,4245
40 to 44,Unspecified acute lower respiratory infection (J22U049U071),61,0.1,4248
45 to 49,Unspecified acute lower respiratory infection (J22U049U071),88,0.1,4251
50 to 54,Unspecified acute lower respiratory infection (J22U049U071),180,0.2,4254
55 to 59,Unspecified acute lower respiratory infection (J22U049U071),359,0.3,4257
60 to 64,Unspecified acute lower respiratory infection (J22U049U071),584,0.5,4260
65 to 69,Unspecified acute lower respiratory infection (J22U049U071),891,0.7,4263
70 to 74,Unspecified acute lower respiratory infection (J22U049U071),1327,1.4,4266
75 to 79,Unspecified acute lower respiratory infection (J22U049U071),1575,1.5,4269
80 to 84,Unspecified acute lower respiratory infection (J22U049U071),1828,2.3,4272
85 and older,Unspecified acute lower respiratory infection (J22U049U071),4172,1.8,4275
Unknown,Unspecified acute lower respiratory infection (J22U049U071),0,N/A,4278
Total,Unspecified acute lower respiratory infection (J22U049U071),11143,5.2,4281
Less than 1,Bronchitis chronic and unspecified (J40-J42),21,0.0,4284
1 to 4,Bronchitis chronic and unspecified (J40-J42),7,N/A,4287
5 to 9,Bronchitis chronic and unspecified (J40-J42),2,N/A,4290
10 to 14,Bronchitis chronic and unspecified (J40-J42),2,N/A,4293
15 to 19,Bronchitis chronic and unspecified (J40-J42),0,N/A,4296
20 to 24,Bronchitis chronic and unspecified (J40-J42),2,N/A,4299
25 to 29,Bronchitis chronic and unspecified (J40-J42),5,N/A,4302
30 to 34,Bronchitis chronic and unspecified (J40-J42),0,N/A,4305
35 to 39,Bronchitis chronic and unspecified (J40-J42),1,N/A,4308
40 to 44,Bronchitis chronic and unspecified (J40-J42),9,N/A,4311
45 to 49,Bronchitis chronic and unspecified (J40-J42),4,N/A,4314
50 to 54,Bronchitis chronic and unspecified (J40-J42),16,0.0,4317
55 to 59,Bronchitis chronic and unspecified (J40-J42),27,0.0,4320
60 to 64,Bronchitis chronic and unspecified (J40-J42),26,0.0,4323
65 to 69,Bronchitis chronic and unspecified (J40-J42),26,0.0,4326
70 to 74,Bronchitis chronic and unspecified (J40-J42),49,0.1,4329
75 to 79,Bronchitis chronic and unspecified (J40-J42),52,0.0,4332
80 to 84,Bronchitis chronic and unspecified (J40-J42),44,0.1,4335
85 and older,Bronchitis chronic and unspecified (J40-J42),168,0.1,4338
Unknown,Bronchitis chronic and unspecified (J40-J42),0,N/A,4341
Total,Bronchitis chronic and unspecified (J40-J42),461,0.2,4344
Less than 1,Emphysema (J43),0,N/A,4347
1 to 4,Emphysema (J43),0,N/A,4350
5 to 9,Emphysema (J43),0,N/A,4353
10 to 14,Emphysema (J43),1,N/A,4356
15 to 19,Emphysema (J43),0,N/A,4359
20 to 24,Emphysema (J43),0,N/A,4362
25 to 29,Emphysema (J43),3,N/A,4365
30 to 34,Emphysema (J43),2,N/A,4368
35 to 39,Emphysema (J43),6,N/A,4371
40 to 44,Emphysema (J43),25,0.0,4374
45 to 49,Emphysema (J43),67,0.1,4377
50 to 54,Emphysema (J43),185,0.2,4380
55 to 59,Emphysema (J43),358,0.3,4383
60 to 64,Emphysema (J43),551,0.4,4386
65 to 69,Emphysema (J43),823,0.6,4389
70 to 74,Emphysema (J43),1001,1.0,4392
75 to 79,Emphysema (J43),1222,1.1,4395
80 to 84,Emphysema (J43),1136,1.4,4398
85 and older,Emphysema (J43),1358,0.6,4401
Unknown,Emphysema (J43),7,N/A,4404
Total,Emphysema (J43),6745,3.1,4407
Less than 1,Asthma (J45-J46),2,N/A,4410
1 to 4,Asthma (J45-J46),16,0.0,4413
5 to 9,Asthma (J45-J46),29,0.0,4416
10 to 14,Asthma (J45-J46),37,0.0,4419
15 to 19,Asthma (J45-J46),37,0.0,4422
20 to 24,Asthma (J45-J46),40,0.0,4425
25 to 29,Asthma (J45-J46),67,0.1,4428
30 to 34,Asthma (J45-J46),75,0.1,4431
35 to 39,Asthma (J45-J46),67,0.1,4434
40 to 44,Asthma (J45-J46),90,0.1,4437
45 to 49,Asthma (J45-J46),141,0.2,4440
50 to 54,Asthma (J45-J46),155,0.2,4443
55 to 59,Asthma (J45-J46),160,0.1,4446
60 to 64,Asthma (J45-J46),120,0.1,4449
65 to 69,Asthma (J45-J46),120,0.1,4452
70 to 74,Asthma (J45-J46),114,0.1,4455
75 to 79,Asthma (J45-J46),120,0.1,4458
80 to 84,Asthma (J45-J46),132,0.2,4461
85 and older,Asthma (J45-J46),341,0.1,4464
Unknown,Asthma (J45-J46),0,N/A,4467
Total,Asthma (J45-J46),1863,1.0,4470
Less than 1,Other chronic lower respiratory diseases (J44J47),1,N/A,4473
1 to 4,Other chronic lower respiratory diseases (J44J47),3,N/A,4476
5 to 9,Other chronic lower respiratory diseases (J44J47),0,N/A,4479
10 to 14,Other chronic lower respiratory diseases (J44J47),2,N/A,4482
15 to 19,Other chronic lower respiratory diseases (J44J47),2,N/A,4485
20 to 24,Other chronic lower respiratory diseases (J44J47),4,N/A,4488
25 to 29,Other chronic lower respiratory diseases (J44J47),5,N/A,4491
30 to 34,Other chronic lower respiratory diseases (J44J47),24,0.0,4494
35 to 39,Other chronic lower respiratory diseases (J44J47),70,0.1,4497
40 to 44,Other chronic lower respiratory diseases (J44J47),224,0.3,4500
45 to 49,Other chronic lower respiratory diseases (J44J47),679,0.8,4503
50 to 54,Other chronic lower respiratory diseases (J44J47),1932,2.1,4506
55 to 59,Other chronic lower respiratory diseases (J44J47),4122,3.0,4509
60 to 64,Other chronic lower respiratory diseases (J44J47),6556,5.3,4512
65 to 69,Other chronic lower respiratory diseases (J44J47),9551,7.4,4515
70 to 74,Other chronic lower respiratory diseases (J44J47),12375,12.7,4518
75 to 79,Other chronic lower respiratory diseases (J44J47),14656,13.6,4521
80 to 84,Other chronic lower respiratory diseases (J44J47),15435,19.3,4524
85 and older,Other chronic lower respiratory diseases (J44J47),22789,9.7,4527
Unknown,Other chronic lower respiratory diseases (J44J47),52,N/A,4530
Total,Other chronic lower respiratory diseases (J44J47),88482,41.1,4533
Less than 1,Pneumoconioses and chemical effects (J60-J66J68),0,N/A,4536
1 to 4,Pneumoconioses and chemical effects (J60-J66J68),1,N/A,4539
5 to 9,Pneumoconioses and chemical effects (J60-J66J68),0,N/A,4542
10 to 14,Pneumoconioses and chemical effects (J60-J66J68),0,N/A,4545
15 to 19,Pneumoconioses and chemical effects (J60-J66J68),0,N/A,4548
20 to 24,Pneumoconioses and chemical effects (J60-J66J68),0,N/A,4551
25 to 29,Pneumoconioses and chemical effects (J60-J66J68),1,N/A,4554
30 to 34,Pneumoconioses and chemical effects (J60-J66J68),0,N/A,4557
35 to 39,Pneumoconioses and chemical effects (J60-J66J68),0,N/A,4560
40 to 44,Pneumoconioses and chemical effects (J60-J66J68),1,N/A,4563
45 to 49,Pneumoconioses and chemical effects (J60-J66J68),3,N/A,4566
50 to 54,Pneumoconioses and chemical effects (J60-J66J68),0,N/A,4569
55 to 59,Pneumoconioses and chemical effects (J60-J66J68),10,0.0,4572
60 to 64,Pneumoconioses and chemical effects (J60-J66J68),15,0.0,4575
65 to 69,Pneumoconioses and chemical effects (J60-J66J68),21,0.0,4578
70 to 74,Pneumoconioses and chemical effects (J60-J66J68),66,0.1,4581
75 to 79,Pneumoconioses and chemical effects (J60-J66J68),80,0.1,4584
80 to 84,Pneumoconioses and chemical effects (J60-J66J68),89,0.1,4587
85 and older,Pneumoconioses and chemical effects (J60-J66J68),139,0.1,4590
Unknown,Pneumoconioses and chemical effects (J60-J66J68),1,N/A,4593
Total,Pneumoconioses and chemical effects (J60-J66J68),427,0.2,4596
Less than 1,Pneumonitis due to solids and liquids (J69),4,N/A,4599
1 to 4,Pneumonitis due to solids and liquids (J69),5,N/A,4602
5 to 9,Pneumonitis due to solids and liquids (J69),1,N/A,4605
10 to 14,Pneumonitis due to solids and liquids (J69),2,N/A,4608
15 to 19,Pneumonitis due to solids and liquids (J69),8,N/A,4611
20 to 24,Pneumonitis due to solids and liquids (J69),13,0.0,4614
25 to 29,Pneumonitis due to solids and liquids (J69),30,0.0,4617
30 to 34,Pneumonitis due to solids and liquids (J69),26,0.0,4620
35 to 39,Pneumonitis due to solids and liquids (J69),30,0.0,4623
40 to 44,Pneumonitis due to solids and liquids (J69),71,0.1,4626
45 to 49,Pneumonitis due to solids and liquids (J69),118,0.1,4629
50 to 54,Pneumonitis due to solids and liquids (J69),212,0.2,4632
55 to 59,Pneumonitis due to solids and liquids (J69),323,0.2,4635
60 to 64,Pneumonitis due to solids and liquids (J69),537,0.4,4638
65 to 69,Pneumonitis due to solids and liquids (J69),637,0.5,4641
70 to 74,Pneumonitis due to solids and liquids (J69),829,0.8,4644
75 to 79,Pneumonitis due to solids and liquids (J69),1238,1.2,4647
80 to 84,Pneumonitis due to solids and liquids (J69),1963,2.5,4650
85 and older,Pneumonitis due to solids and liquids (J69),5922,2.5,4653
Unknown,Pneumonitis due to solids and liquids (J69),10,N/A,4656
Total,Pneumonitis due to solids and liquids (J69),11979,5.5,4659
Less than 1,Other diseases of respiratory system (J00-J06J30-J39J67J70-J98),152,0.1,4662
1 to 4,Other diseases of respiratory system (J00-J06J30-J39J67J70-J98),53,0.0,4665
5 to 9,Other diseases of respiratory system (J00-J06J30-J39J67J70-J98),13,0.0,4668
10 to 14,Other diseases of respiratory system (J00-J06J30-J39J67J70-J98),14,0.0,4671
15 to 19,Other diseases of respiratory system (J00-J06J30-J39J67J70-J98),25,0.0,4674
20 to 24,Other diseases of respiratory system (J00-J06J30-J39J67J70-J98),43,0.1,4677
25 to 29,Other diseases of respiratory system (J00-J06J30-J39J67J70-J98),51,0.1,4680
30 to 34,Other diseases of respiratory system (J00-J06J30-J39J67J70-J98),86,0.1,4683
35 to 39,Other diseases of respiratory system (J00-J06J30-J39J67J70-J98),136,0.2,4686
40 to 44,Other diseases of respiratory system (J00-J06J30-J39J67J70-J98),163,0.2,4689
45 to 49,Other diseases of respiratory system (J00-J06J30-J39J67J70-J98),348,0.4,4692
50 to 54,Other diseases of respiratory system (J00-J06J30-J39J67J70-J98),647,0.7,4695
